0,0,(a**2*(2*M*r - Q_e**2)**2*sin(theta)**4/((a**2*cos(theta)**2 + r**2)**2*((2*M*r - Q_e**2)/(a**2*cos(theta)**2 + r**2) - 1)*(-a**2*(2*M*r - Q_e**2)**2*sin(theta)**4/((a**2*cos(theta)**2 + r**2)**2*((2*M*r - Q_e**2)/(a**2*cos(theta)**2 + r**2) - 1)) + (a**2*(2*M*r - Q_e**2)*sin(theta)**2/(a**2*cos(theta)**2 + r**2) + a**2 + r**2)*sin(theta)**2)) + 1)/((2*M*r - Q_e**2)/(a**2*cos(theta)**2 + r**2) - 1)
0,1,0
0,2,a*(2*M*r - Q_e**2)*sin(theta)**2/((a**2*cos(theta)**2 + r**2)*((2*M*r - Q_e**2)/(a**2*cos(theta)**2 + r**2) - 1)*(-a**2*(2*M*r - Q_e**2)**2*sin(theta)**4/((a**2*cos(theta)**2 + r**2)**2*((2*M*r - Q_e**2)/(a**2*cos(theta)**2 + r**2) - 1)) + (a**2*(2*M*r - Q_e**2)*sin(theta)**2/(a**2*cos(theta)**2 + r**2) + a**2 + r**2)*sin(theta)**2))
0,3,0
1,0,0
1,1,(-2*M*r + a**2 + r**2)/(a**2*cos(theta)**2 + r**2)
1,2,0
1,3,0
2,0,a*(2*M*r - Q_e**2)*sin(theta)**2/((a**2*cos(theta)**2 + r**2)*((2*M*r - Q_e**2)/(a**2*cos(theta)**2 + r**2) - 1)*(-a**2*(2*M*r - Q_e**2)**2*sin(theta)**4/((a**2*cos(theta)**2 + r**2)**2*((2*M*r - Q_e**2)/(a**2*cos(theta)**2 + r**2) - 1)) + (a**2*(2*M*r - Q_e**2)*sin(theta)**2/(a**2*cos(theta)**2 + r**2) + a**2 + r**2)*sin(theta)**2))
2,1,0
2,2,1/(-a**2*(2*M*r - Q_e**2)**2*sin(theta)**4/((a**2*cos(theta)**2 + r**2)**2*((2*M*r - Q_e**2)/(a**2*cos(theta)**2 + r**2) - 1)) + (a**2*(2*M*r - Q_e**2)*sin(theta)**2/(a**2*cos(theta)**2 + r**2) + a**2 + r**2)*sin(theta)**2)
2,3,0
3,0,0
3,1,0
3,2,0
3,3,1/(a**2*cos(theta)**2 + r**2)
